任务,工种,施工人数,劳动力成本,每日实际施工人数,每日实际劳动力成本
6层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
6层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
6层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
6层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
6层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
6层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
6层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
6层 - 水管盘管验收,,,0,,0.0
6层 - 门框安装,不限,3.0,480,3.0,480.0
6层 - 门框验收,,,0,,0.0
6层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
6层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
6层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
6层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
6层 - 穿带线、电箱、电盒验收,,,0,,0.0
6层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
6层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
6层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
6层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
6层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
6层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
6层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
6层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
6层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
6层 - 灯具安装,水电工,2.0,960,2.0,960.0
6层 - 洁具安装,水电工,2.0,960,2.0,960.0
6层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
6层 - 消防系统安装,,,0,,0.0
6层 - 弱电及智能系统安装,,,0,,0.0
7层 - 柱、墙、梁、板钢筋制作,钢筋工,3.0,3465,1.0,1155.0
7层 - 柱测量放线,测量员,2.0,80,2.0,80.0
7层 - 剪力墙放线,测量员,2.0,80,2.0,80.0
7层 - 柱钢筋绑扎,钢筋工,8.0,0,8.0,0.0
7层 - 短肢剪力墙钢筋绑扎,钢筋工,8.0,3360,8.0,3360.0
7层 - 柱钢筋验收,,,0,,0.0
7层 - 剪力墙钢筋验收,,,0,,0.0
7层 - 柱模板拼装,木工,4.0,0,4.0,0.0
7层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
7层 - 墙模板验收,,,0,,0.0
7层 - 柱模板验收,,,0,,0.0
7层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
7层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
7层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
7层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
7层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
7层 - 柱模板拆除,木工,4.0,0,4.0,0.0
7层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
7层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
7层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
7层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
7层 - 梁板模板验收,,,0,,0.0
7层 - 楼梯模板验收,,,0,,0.0
7层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
7层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
7层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
7层 - 梁板钢筋验收,,,0,,0.0
7层 - 水电验收,,,0,,0.0
7层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
7层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
7层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
7层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
7层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
7层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
7层 - 隔墙墙体砌筑验收,,,0,,0.0
7层 - 水电验收,,,0,,0.0
7层 - 窗框安装,不限,2.0,128,2.0,128.0
7层 - 窗框验收,,,0,,0.0
7层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
7层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
7层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
7层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
7层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
7层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
7层 - 外墙面验收,,,0,,0.0
7层 - 内墙面验收,,,0,,0.0
7层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
7层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
7层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
7层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
7层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
7层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
7层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
7层 - 水管盘管验收,,,0,,0.0
7层 - 门框安装,不限,3.0,480,3.0,480.0
7层 - 门框验收,,,0,,0.0
7层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
7层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
7层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
7层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
7层 - 穿带线、电箱、电盒验收,,,0,,0.0
7层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
7层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
7层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
7层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
7层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
7层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
7层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
7层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
7层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
7层 - 灯具安装,水电工,2.0,960,2.0,960.0
7层 - 洁具安装,水电工,2.0,960,2.0,960.0
7层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
7层 - 消防系统安装,,,0,,0.0
7层 - 弱电及智能系统安装,,,0,,0.0
8层 - 柱、墙、梁、板钢筋制作,钢筋工,3.0,3465,1.0,1155.0
8层 - 柱测量放线,测量员,2.0,80,2.0,80.0
8层 - 剪力墙放线,测量员,2.0,80,2.0,80.0
8层 - 柱钢筋绑扎,钢筋工,8.0,0,8.0,0.0
8层 - 短肢剪力墙钢筋绑扎,钢筋工,8.0,3360,8.0,3360.0
8层 - 柱钢筋验收,,,0,,0.0
8层 - 剪力墙钢筋验收,,,0,,0.0
8层 - 柱模板拼装,木工,4.0,0,4.0,0.0
8层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
8层 - 墙模板验收,,,0,,0.0
8层 - 柱模板验收,,,0,,0.0
8层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
8层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
8层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
8层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
8层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
8层 - 柱模板拆除,木工,4.0,0,4.0,0.0
8层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
8层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
8层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
8层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
8层 - 梁板模板验收,,,0,,0.0
8层 - 楼梯模板验收,,,0,,0.0
8层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
8层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
8层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
8层 - 梁板钢筋验收,,,0,,0.0
8层 - 水电验收,,,0,,0.0
8层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
8层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
8层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
8层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
8层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
8层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
8层 - 隔墙墙体砌筑验收,,,0,,0.0
8层 - 水电验收,,,0,,0.0
8层 - 窗框安装,不限,2.0,128,2.0,128.0
8层 - 窗框验收,,,0,,0.0
8层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
8层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
8层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
8层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
8层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
8层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
8层 - 外墙面验收,,,0,,0.0
8层 - 内墙面验收,,,0,,0.0
8层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
8层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
8层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
8层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
8层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
8层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
8层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
8层 - 水管盘管验收,,,0,,0.0
8层 - 门框安装,不限,3.0,480,3.0,480.0
8层 - 门框验收,,,0,,0.0
8层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
8层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
8层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
8层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
8层 - 穿带线、电箱、电盒验收,,,0,,0.0
8层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
8层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
8层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
8层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
8层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
8层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
8层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
8层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
8层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
8层 - 灯具安装,水电工,2.0,960,2.0,960.0
8层 - 洁具安装,水电工,2.0,960,2.0,960.0
8层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
8层 - 消防系统安装,,,0,,0.0
8层 - 弱电及智能系统安装,,,0,,0.0
9层 - 柱、墙、梁、板钢筋制作,钢筋工,3.0,3465,1.0,1155.0
9层 - 柱测量放线,测量员,2.0,80,2.0,80.0
9层 - 剪力墙放线,测量员,2.0,80,2.0,80.0
9层 - 柱钢筋绑扎,钢筋工,8.0,0,8.0,0.0
9层 - 短肢剪力墙钢筋绑扎,钢筋工,8.0,3360,8.0,3360.0
9层 - 柱钢筋验收,,,0,,0.0
9层 - 剪力墙钢筋验收,,,0,,0.0
9层 - 柱模板拼装,木工,4.0,0,4.0,0.0
9层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
9层 - 墙模板验收,,,0,,0.0
9层 - 柱模板验收,,,0,,0.0
9层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
9层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
9层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
9层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
9层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
9层 - 柱模板拆除,木工,4.0,0,4.0,0.0
9层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
9层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
9层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
9层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
9层 - 梁板模板验收,,,0,,0.0
9层 - 楼梯模板验收,,,0,,0.0
9层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
9层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
9层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
9层 - 梁板钢筋验收,,,0,,0.0
9层 - 水电验收,,,0,,0.0
9层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
9层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
9层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
9层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
9层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
9层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
9层 - 隔墙墙体砌筑验收,,,0,,0.0
9层 - 水电验收,,,0,,0.0
9层 - 窗框安装,不限,2.0,128,2.0,128.0
9层 - 窗框验收,,,0,,0.0
9层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
9层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
9层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
9层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
9层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
9层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
9层 - 外墙面验收,,,0,,0.0
9层 - 内墙面验收,,,0,,0.0
9层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
9层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
9层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
9层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
9层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
9层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
9层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
9层 - 水管盘管验收,,,0,,0.0
9层 - 门框安装,不限,3.0,480,3.0,480.0
9层 - 门框验收,,,0,,0.0
9层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
9层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
9层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
9层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
9层 - 穿带线、电箱、电盒验收,,,0,,0.0
9层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
9层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
9层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
9层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
9层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
9层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
9层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
9层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
9层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
9层 - 灯具安装,水电工,2.0,960,2.0,960.0
9层 - 洁具安装,水电工,2.0,960,2.0,960.0
9层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
9层 - 消防系统安装,,,0,,0.0
9层 - 弱电及智能系统安装,,,0,,0.0
10层 - 柱、墙、梁、板钢筋制作,钢筋工,3.0,3465,1.0,1155.0
10层 - 柱测量放线,测量员,2.0,80,2.0,80.0
10层 - 剪力墙放线,测量员,2.0,80,2.0,80.0
10层 - 柱钢筋绑扎,钢筋工,8.0,0,8.0,0.0
10层 - 短肢剪力墙钢筋绑扎,钢筋工,8.0,3360,8.0,3360.0
10层 - 柱钢筋验收,,,0,,0.0
10层 - 剪力墙钢筋验收,,,0,,0.0
10层 - 柱模板拼装,木工,4.0,0,4.0,0.0
10层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
10层 - 墙模板验收,,,0,,0.0
10层 - 柱模板验收,,,0,,0.0
10层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
10层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
10层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
10层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
10层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
10层 - 柱模板拆除,木工,4.0,0,4.0,0.0
10层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
10层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
10层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
10层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
10层 - 梁板模板验收,,,0,,0.0
10层 - 楼梯模板验收,,,0,,0.0
10层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
10层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
10层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
10层 - 梁板钢筋验收,,,0,,0.0
10层 - 水电验收,,,0,,0.0
10层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
10层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
10层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
10层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
10层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
10层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
10层 - 隔墙墙体砌筑验收,,,0,,0.0
10层 - 水电验收,,,0,,0.0
10层 - 窗框安装,不限,2.0,128,2.0,128.0
10层 - 窗框验收,,,0,,0.0
10层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
10层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
10层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
10层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
10层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
10层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
10层 - 外墙面验收,,,0,,0.0
10层 - 内墙面验收,,,0,,0.0
10层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
10层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
10层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
10层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
10层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
10层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
10层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
10层 - 水管盘管验收,,,0,,0.0
10层 - 门框安装,不限,3.0,480,3.0,480.0
10层 - 门框验收,,,0,,0.0
10层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
10层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
10层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
10层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
10层 - 穿带线、电箱、电盒验收,,,0,,0.0
10层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
10层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
10层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
10层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
10层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
10层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
10层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
10层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
10层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
10层 - 灯具安装,水电工,2.0,960,2.0,960.0
10层 - 洁具安装,水电工,2.0,960,2.0,960.0
10层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
10层 - 消防系统安装,,,0,,0.0
10层 - 弱电及智能系统安装,,,0,,0.0
跨楼层 - 电梯井施工,安装工,6.0,80000,0.2,2666.6666666666665
跨楼层 - 主供水管道安装,管道工,4.0,40000,0.2,2000.0
跨楼层 - 中央空调安装,安装工,5.0,60000,0.2,2400.0
